fromNode	toNode	weight	direction	fromAltName	toAltName
2700049A03Rik	Abcb9	0.0112534764072823	undirected	NA	NA
2700049A03Rik	Abcd2	0.0195712263575173	undirected	NA	NA
2700049A03Rik	Abcd4	0.00528939359302753	undirected	NA	NA
2700049A03Rik	Acaa1b	0.0112785751500054	undirected	NA	NA
2700049A03Rik	Acot11	0.00280845029155528	undirected	NA	NA
2700049A03Rik	Acsl6	0.0279849874285414	undirected	NA	NA
2700049A03Rik	Acvr1b	0.00101774190268799	undirected	NA	NA
2700049A03Rik	Adcy4	0.0179016252855786	undirected	NA	NA
2700049A03Rik	Adora2b	0.00918639262662766	undirected	NA	NA
2700049A03Rik	Alkbh3	0.0130173307483435	undirected	NA	NA
2700049A03Rik	Ano8	0.0265189441882279	undirected	NA	NA
2700049A03Rik	Arhgef15	0.00232205145358999	undirected	NA	NA
2700049A03Rik	Arhgef19	0.0222577785266238	undirected	NA	NA
2700049A03Rik	Atp13a5	0.00710352663128919	undirected	NA	NA
2700049A03Rik	Atp2b2	0.00187166000991276	undirected	NA	NA
2700049A03Rik	Atrnl1	0.000952446039956235	undirected	NA	NA
2700049A03Rik	Cacng3	0.00599221414646382	undirected	NA	NA
2700049A03Rik	Camk2g	0.00158369083187392	undirected	NA	NA
2700049A03Rik	Cbln2	0.00691443781562678	undirected	NA	NA
2700049A03Rik	Ccdc157	0.000887666300828065	undirected	NA	NA
2700049A03Rik	Cd34	0.0154350478524834	undirected	NA	NA
2700049A03Rik	Cd80	0.0285324786458903	undirected	NA	NA
2700049A03Rik	Cdan1	0.00494074125416014	undirected	NA	NA
2700049A03Rik	Cdc25b	0.00876634856212286	undirected	NA	NA
2700049A03Rik	Cds1	0.000296077451630382	undirected	NA	NA
2700049A03Rik	Clec11a	0.0189347674923915	undirected	NA	NA
2700049A03Rik	Col11a2	0.0104784116137114	undirected	NA	NA
2700049A03Rik	Col4a1	0.0301768488898038	undirected	NA	NA
2700049A03Rik	Coro2b	0.00636004147827858	undirected	NA	NA
2700049A03Rik	Cplx1	0.013750070345163	undirected	NA	NA
2700049A03Rik	Cpne9	0.00245692239178709	undirected	NA	NA
2700049A03Rik	Crebzf	0.0121040109911112	undirected	NA	NA
2700049A03Rik	Crispld1	0.00102447739742465	undirected	NA	NA
2700049A03Rik	Dck	0.020881039371922	undirected	NA	NA
2700049A03Rik	Ddx20	0.0556423806739841	undirected	NA	NA
2700049A03Rik	Ddx39	0.00403717811552143	undirected	NA	NA
2700049A03Rik	Dennd6b	0.0143406731238748	undirected	NA	NA
2700049A03Rik	Dnajc21	0.0083461155093703	undirected	NA	NA
2700049A03Rik	Dnase1l1	0.0203877768598416	undirected	NA	NA
2700049A03Rik	Dpf2	0.021419417878971	undirected	NA	NA
2700049A03Rik	Dtx3	0.0191776352961827	undirected	NA	NA
2700049A03Rik	Edem1	0.0404382945588265	undirected	NA	NA
2700049A03Rik	Efna5	0.0133545230700374	undirected	NA	NA
2700049A03Rik	Elac2	0.00291391808548936	undirected	NA	NA
2700049A03Rik	Emid1	0.00236050007842561	undirected	NA	NA
